Archivo ; EleccionNro ; wavelet ; energiaPreProSI ; energiaPreProNO ; energiaPostProSI ; energiaPostProNO ; resultObtenido ; resultEsperado; TP ; TN ; FP ; FN
fer1 ; 1 ; bior1.5 ; 744.261548 ; 783.410469 ; 456.558120 ; 66.010920 ; 1 ; 1 ; 1 ; 0 ; 0 ;0 
fer2 ; 1 ; bior1.5 ; 839.651114 ; 1607.787034 ; 271.155786 ; 193.853305 ; 1 ; 0 ; 0 ; 0 ; 1 ;0 
fer3x ; 1 ; bior1.5 ; 1744.671142 ; 756.425079 ; 118.347604 ; 37.318440 ; 1 ; 1 ; 1 ; 0 ; 0 ;0 
fer4 ; 1 ; bior1.5 ; 796.269149 ; 1273.591373 ; 41.868395 ; 104.379299 ; 0 ; 1 ; 0 ; 0 ; 0 ;1 
fer4 ; 2 ; bior1.5 ; 1345.295286 ; 1764.776620 ; 173.780530 ; 36.825291 ; 1 ; 0 ; 0 ; 0 ; 1 ;0 
fer5 ; 1 ; bior1.5 ; 1338.105570 ; 454.126086 ; 41.046960 ; 84.782533 ; 0 ; 1 ; 0 ; 0 ; 0 ;1 
mati-1-12.09.16.17.58.22 ; 1 ; bior1.5 ; 1375.464872 ; 1018.608918 ; 105.451566 ; 355.126776 ; 0 ; 0 ; 0 ; 1 ; 0 ;0 
nahuel6 ; 1 ; bior1.5 ; 1050.803779 ; 1180.704002 ; 174.340645 ; 137.198339 ; 1 ; 1 ; 1 ; 0 ; 0 ;0 
nahuel7 ; 1 ; bior1.5 ; 515.625852 ; 544.989468 ; 93.351963 ; 17.529565 ; 1 ; 0 ; 0 ; 0 ; 1 ;0 
fer1 ; 1 ; bior3.9 ; 744.261548 ; 783.410469 ; 528.778866 ; 128.905241 ; 1 ; 1 ; 1 ; 0 ; 0 ;0 
fer2 ; 1 ; bior3.9 ; 839.651114 ; 1607.787034 ; 236.170410 ; 658.423198 ; 0 ; 0 ; 0 ; 1 ; 0 ;0 
fer3x ; 1 ; bior3.9 ; 1744.671142 ; 756.425079 ; 78.331368 ; 2.730337 ; 1 ; 1 ; 1 ; 0 ; 0 ;0 
fer4 ; 1 ; bior3.9 ; 796.269149 ; 1273.591373 ; 251.317307 ; 28.475786 ; 1 ; 1 ; 1 ; 0 ; 0 ;0 
fer4 ; 2 ; bior3.9 ; 1345.295286 ; 1764.776620 ; 59.629648 ; 85.089497 ; 0 ; 0 ; 0 ; 1 ; 0 ;0 
fer5 ; 1 ; bior3.9 ; 1338.105570 ; 454.126086 ; 3.715390 ; 17.462522 ; 0 ; 1 ; 0 ; 0 ; 0 ;1 
mati-1-12.09.16.17.58.22 ; 1 ; bior3.9 ; 1375.464872 ; 1018.608918 ; 82.397166 ; 218.699353 ; 0 ; 0 ; 0 ; 1 ; 0 ;0 
