Archivo ; EleccionNro ; wavelet ; energiaPreProSI ; energiaPreProNO ; energiaPostProSI ; energiaPostProNO ; resultObtenido ; resultEsperado; TP ; TN ; FP ; FN
fer1 ; 1 ; coif4 ; 985,918806 ; 942,512836 ; 91,920684 ; 52,888392 ; 1 ; 1 ; 1 ; 0 ; 0 ;0 
fer2 ; 1 ; coif4 ; 1250,174147 ; 1232,121279 ; 54,225021 ; 144,299458 ; 0 ; 0 ; 0 ; 1 ; 0 ;0 
fer3x ; 1 ; coif4 ; 454,838521 ; 685,703508 ; 40,011444 ; 132,276141 ; 0 ; 1 ; 0 ; 0 ; 0 ;1 
fer4 ; 1 ; coif4 ; 632,717223 ; 1118,659127 ; 85,943156 ; 107,994271 ; 0 ; 1 ; 0 ; 0 ; 0 ;1 
fer4 ; 2 ; coif4 ; 879,776280 ; 1062,573218 ; 90,682992 ; 53,937826 ; 1 ; 0 ; 0 ; 0 ; 1 ;0 
fer5 ; 1 ; coif4 ; 807,105458 ; 1662,130749 ; 70,946713 ; 67,543410 ; 1 ; 1 ; 1 ; 0 ; 0 ;0 
mati-1-12,09,16,17,58,22 ; 1 ; coif4 ; 803,670238 ; 525,272052 ; 75,153998 ; 106,925489 ; 0 ; 0 ; 0 ; 1 ; 0 ;0 
nahuel6 ; 1 ; coif4 ; 1237,219430 ; 1091,196091 ; 90,981270 ; 4,007676 ; 1 ; 1 ; 1 ; 0 ; 0 ;0 
nahuel7 ; 1 ; coif4 ; 1279,508421 ; 540,013880 ; 18,982498 ; 23,922231 ; 0 ; 0 ; 0 ; 1 ; 0 ;0 
fer1 ; 1 ; coif4 ; 559,959906 ; 1619,811728 ; 148,628035 ; 167,951324 ; 0 ; 1 ; 0 ; 0 ; 0 ;1 
fer2 ; 1 ; coif4 ; 904,708795 ; 908,562553 ; 59,193443 ; 199,490063 ; 0 ; 0 ; 0 ; 1 ; 0 ;0 
fer3x ; 1 ; coif4 ; 463,237427 ; 1733,744466 ; 92,367758 ; 119,081352 ; 0 ; 1 ; 0 ; 0 ; 0 ;1 
fer4 ; 1 ; coif4 ; 677,337658 ; 862,297254 ; 57,113466 ; 48,842398 ; 1 ; 1 ; 1 ; 0 ; 0 ;0 
fer4 ; 2 ; coif4 ; 1208,185441 ; 974,143751 ; 66,393157 ; 86,782806 ; 0 ; 0 ; 0 ; 1 ; 0 ;0 
fer5 ; 1 ; coif4 ; 980,674804 ; 1729,168612 ; 129,608089 ; 17,328179 ; 1 ; 1 ; 1 ; 0 ; 0 ;0 
mati-1-12,09,16,17,58,22 ; 1 ; coif4 ; 656,119998 ; 558,143418 ; 73,577524 ; 60,897080 ; 1 ; 0 ; 0 ; 0 ; 1 ;0 
nahuel6 ; 1 ; coif4 ; 1075,151446 ; 1450,511486 ; 160,500781 ; 58,046627 ; 1 ; 1 ; 1 ; 0 ; 0 ;0 
nahuel7 ; 1 ; coif4 ; 886,148936 ; 587,060907 ; 59,646628 ; 23,055632 ; 1 ; 0 ; 0 ; 0 ; 1 ;0 
fer1 ; 1 ; coif4 ; 529,747187 ; 1371,193584 ; 127,454852 ; 70,869503 ; 1 ; 1 ; 1 ; 0 ; 0 ;0 
fer2 ; 1 ; coif4 ; 806,816623 ; 825,441419 ; 63,186996 ; 243,306952 ; 0 ; 0 ; 0 ; 1 ; 0 ;0 
